prompt_id,scene_id,object_id,object_name,description,is_valid,num_attributes_target,num_attributes_anchors,num_attribute_type_color,num_attribute_type_size,num_attribute_type_shape,num_attribute_type_number,num_attribute_type_material,num_attribute_type_texture,num_attribute_type_function,num_attribute_type_style,num_attribute_type_text_label,num_attribute_type_state,num_relationships_target,num_relationships_anchors,num_relationship_type_near,num_relationship_type_far,num_relationship_type_viewpoint_dependent,num_relationship_type_vertical,num_relationship_type_contain,num_relationship_type_arrangement,num_relationship_type_ordinal,num_relationship_type_comparison,num_coreferences,num_target_not_first_np,granularity,num_anchor_type_single,num_anchor_type_multiple,num_anchor_type_non_object,num_anchor_type_viewpoint,num_negation
79e47279-b7f0-4a75-b732-48e377a3a6fa,ab046f8faf,13,stool,The object is under the workstation and between the two cabinets.,1,0,1,,,,1,,,,,,,2,0,,,,1,,1,,,,,generic,1,1,,,
513161ec-392a-4554-ae13-aa8eb4295926,ab046f8faf,13,stool,The seat is right next to the pack of water bottles.,1,0,0,,,,,,,,,,,1,1,1,,,,,1,,,,,categorical,,1,,,
eab47f56-ac85-40db-94a1-4c08d370337b,ab046f8faf,13,stool,"Grab the metal, three-legged stool.",1,1,1,,,,1,1,,,,,,1,0,,,,,1,,,,,,fine-grained,,1,,,
a7e08c22-e6cc-4ae1-8524-4d9ee4b4295a,ab046f8faf,1,control panel,Near the large machine is a silver control panel.,1,1,1,1,1,,,,,,,,,1,0,1,,,,,,,,,1,fine-grained,1,,,,
8c21b4c7-9dc6-4fe6-a29b-930dedb0ca48,ab046f8faf,15,bottle,"Find the object labeled ""volvic"" on the workbench.",1,1,0,,,,,,,,,1,,1,0,1,,,1,,,,,,,generic,1,,,,
1537b105-395f-4f9c-abb6-b38e4a0f41dd,ab046f8faf,15,bottle,Find the soda bottle among the collection of tools and bins.,1,0,0,,,,,,,,,,,1,1,1,,,,,1,,,,,fine-grained,,1,,,
3f78221a-d1cf-488e-8a6c-e5734ee504d4,ab046f8faf,15,bottle,"On the table, find the soda bottle. It is among the collection of tools and bins.",1,0,0,,,,,,,,,,,2,1,1,,,1,,1,,,1,1,fine-grained,1,1,,,
8dcb9b74-704c-403a-9745-08ce26e629f0,ab046f8faf,41,jar,There is a yellow-topped jar close to a small gray storage bin on the table.,1,1,2,1,1,,,,,,,,,1,1,1,,,1,,,,,,,fine-grained,1,,,,
0c5ac27b-a19f-451b-ae7f-82705a41ab14,ab046f8faf,,jar,There is a gray-topped jar close to a yellow gray storage bin on the table.,1,1,2,1,1,,,,,,,,,1,1,1,,,1,,,,,,,fine-grained,1,,,,
35143974-5768-44ea-9d93-36b89bdfc4fc,ab046f8faf,14,cabinet,"Look for the large, green cabinet not adjacent to the fridge.",1,2,0,1,1,,,,,,,,,1,0,1,,,,,,,,,,fine-grained,1,,,,1
13c00c55-8e20-42b6-a5c0-cdd34d535aba,ab046f8faf,4,machine,This is the largest power tool in the shop.,1,1,0,,1,,,,,,,,,2,0,,,,,1,,,1,,,categorical,,1,1,,
d1e8466c-490e-42b0-9d1b-77de5dd4b654,9460c8889d,57,folding room divider,Pull out the room divider which is in front of the heaters and windows.,1,0,0,,,,,,,,,,,1,0,,,1,,,,,,,,fine-grained,,1,,,
4bdf7e6d-c5c9-41c9-8047-627f0b4c0d5b,9460c8889d,5,heater,The heater is the one not under a window.,1,0,0,,,,,,,,,,,1,0,,,,1,,,,,,,fine-grained,1,,,,1
c0b29a2b-ae3b-4731-9bb2-603c575857d1,9460c8889d,47,door,"When facing the wall with windows, look to your right. Find the leftmost door to the room being used for storage.",1,1,0,,,,,,,1,,,,1,2,,,1,,1,,,,,1,fine-grained,1,1,1,1,
b85b8efa-3a0a-4721-a234-9fea3d646ef0,9460c8889d,31,power socket,Use the outlet under the window which is second-to-the-right in the room.,1,0,0,,,,,,,,,,,1,2,,,1,1,1,,1,,,,fine-grained,1,,1,,
79445b99-e276-4e83-a5cb-71e9e17205af,9460c8889d,3,heater,Look for the window to the right of the room dividers. The heater of interest is underneath that window and to the left of the other one.,1,0,0,,,,,,,,,,,3,0,,,1,1,,,,,,1,fine-grained,1,1,,,
3d5feacb-2c76-4cfb-8963-49b2884545d2,9460c8889d,28,blinds,The window blinds are the one farthest from the heater not under a window.,1,0,0,,,,,,,,,,,2,0,,1,,1,,,,,,,fine-grained,1,,,,1
3b46e850-9601-4752-87e0-0f8cd15c51fe,b09431c547,5,wastebin,Next to the porcelain throne is a green container.,1,1,1,1,,,,1,,,,,,1,0,1,,,,,,,,,1,categorical,1,,,,
3b7d56e5-5d06-40bb-90b0-d65b65662056,b09431c547,16,bottle,"This is a short, dark green bottle on the counter, closest to the edge and not next to the sink.",1,2,0,1,1,,,,,,,,,3,1,1,,,,1,,,,,,fine-grained,1,,,,1
e20fb2f3-4b02-4f59-8efb-7bb44a053143,b09431c547,8,toilet brush,The tool we use to clean the toilet is in the corner of the room.,1,1,0,,,,,,,1,,,,1,1,,,,,1,,,,,,categorical,,,1,,
cf4f7847-e211-456a-9263-40c6169875fe,b09431c547,4,towel,"When facing the sink, grab the gray towel hanging on the rack on the wall to your right.",1,1,0,1,,,,,,,,,,1,3,1,,1,,,,,,,1,fine-grained,1,,,1,
f3ca8bc7-fbd5-4556-a24f-7c721eb7daf5,b09431c547,4,towel,Grab the gray towel hanging on the right side of the rack on the wall.,1,1,0,1,,,,,,,,,,1,2,1,,1,,,,,,,,fine-grained,1,,,,
927f2c95-e713-42ca-9e8a-ee19de7bc012,281ba69af1,102,dumbbells,"These are the two sets of weights on the sofa couch, near the blue pillow.",1,1,1,1,,,1,,,,,,,3,0,1,,,1,,1,,,,,fine-grained,1,,,,
1502c027-2f70-4a68-af88-4b040fbecb26,281ba69af1,171,keyboard,In the study is a keyboard on the desk in front of the two monitors.,1,0,1,,,,1,,,,,,,3,0,1,,1,1,1,,,,,1,fine-grained,1,1,1,,
ccd7de0c-5a1a-44f3-80ff-1782eb168987,281ba69af1,172,mouse,The mouse is in the bedroom.,1,0,0,,,,,,,,,,,1,0,,,,,1,,,,,,fine-grained,,,1,,
ed963aec-8318-4d02-bb13-9469066795f7,281ba69af1,142,backpack,"Grab the black and gray backpack-not the one against the wall-which is in the study, nearby the foldable crate and rectangular box.",1,2,2,1,,1,,,,1,,,,3,0,1,,,,1,,,,,,fine-grained,1,1,1,,1
86fc4d49-3229-4ab5-9809-c3012fd01f80,281ba69af1,,backpack,Find something that I can wear on my back and which can hold my laptop and books.,1,2,0,,,,,,,1,,,,0,0,,,,,,,,,,,generic,,,,,
67b4a7dc-4e41-44bd-94b4-c614db19ac78,281ba69af1,,weights,"These are the two sets of weights on the wooden bench, near the blue pillow.",1,1,2,1,,,1,1,,,,,,3,0,1,,,1,,1,,,,,fine-grained,1,,,,
b833399a-a710-446f-b083-4aa6355d1c2b,281ba69af1,,spice rack,The spice rack is above the granite counter. It's the one farthest from the fridge.,1,0,1,,,,,1,,,,,,2,0,,1,,1,,,,,1,,fine-grained,1,,,,
18778dd6-6097-4e77-9055-ce0dbb8b09c6,281ba69af1,38,dining table,This is the rectangular dining table surrounded by two black dining chairs and a wooden bench.,1,1,3,1,,1,1,1,,,,,,1,0,,,,,,1,,,,,fine-grained,,1,,,
9488b28f-a05b-47bf-8b57-ada8ebe7c2c1,281ba69af1,160,storage rack,Find the shelf which contains the wine rack and a stack of plastic cups.,1,0,1,,,,,1,,,,,,1,1,,,,,1,1,,,,,fine-grained,1,1,,,
0614fb70-810d-4aee-91be-fc151dd47b1b,281ba69af1,160,storage rack,Find the shelf to the left of the big screen.,1,0,1,,1,,,,,,,,,1,0,,,1,,,,,,,,fine-grained,1,,,,
4b8fdd6c-a780-4be7-a63b-42bbc5ae4999,281ba69af1,133,plant,"When sitting in the white chair in the living room, there is a large plant on your right that needs to be watered.",1,1,1,1,1,,,,,1,,,,1,1,,,1,,1,,,,,1,fine-grained,1,,1,1,
a09532b0-936d-429f-bb86-0d8b6c414e1c,281ba69af1,132,desk,"In the room with the TV, there is a brown desk to the left of a green plant.",1,1,1,1,,,,,,,,,,2,1,,,1,,1,,,,,1,fine-grained,1,,1,,
61340eec-4f38-46cc-b73e-9a6dd7b7b0b5,281ba69af1,,desk,"In the room with the TV, there is a green desk to the left of a brown plant.",1,1,1,1,,,,,,,,,,2,1,,,1,,1,,,,,1,fine-grained,1,,1,,
f1fe6b1d-4e45-4528-8105-ae428b25209d,0a5c013435,6,ladder,There is a ladder near the door.,1,0,0,,,,,,,,,,,1,0,1,,,,,,,,,,fine-grained,1,,,,
2cd99f05-dd3c-43d8-bcbf-e5834cabaf20,0a5c013435,,ladder,There is a ladder far from the door.,1,0,0,,,,,,,,,,,1,0,,1,,,,,,,,,fine-grained,1,,,,
