prompt_id,scene_id,object_id,object_name,description,pair_id,is_valid,num_attributes_target,num_attributes_anchors,num_attribute_type_color,num_attribute_type_size,num_attribute_type.shape,num_attribute_type_number,num_attribute_type_material,num_attribute_type_texture,num_attribute_type_function,num_attribute_type_style,num_attribute_type_text_label,num_attribute_type_state,num_relationships_target,num_relationships_anchors,num_relationship_type_near,num_relationship_type_far,num_relationship_type_viewpoint_dependent,num_relationship_type_vertical,num_relationship_type_contain,num_relationship_type_arrangement,num_relationship_type_ordinal,num_relationship_type_comparison,num_coreferences,num_target_not_first_np,granularity,num_anchor_type_single,num_anchor_type_multiple,num_anchor_type_non_object,num_anchor_type_viewpoint,num_negation
cf49717d-a751-417e-be93-32fa6a4aa1e4,scene0012_00,27,door,Find the door to the right of the board.,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,,,,0,,0,fine-grained,1,0,,,
aec1e11f-43c6-4596-8f3a-161880201ef9,scene0012_00,26,box,"This is a cardboard box against the wall and right next to two doors. Of such boxes, it is the one not next to an armchair.",,1,0,0,0,0,0,1,1,0,0,0,0,,3,0,1,,0,0,,,,0,1,0,fine-grained,1,1,,,1
9914bb89-4346-489b-9c0b-65fb3815f06a,scene0012_00,3,armchair,The armchair has brown paper bags on it.,,1,0,1,1,0,0,0,0,0,0,0,0,,1,0,1,0,0,1,,,,0,1,0,fine-grained,1,0,,,
c5516743-ff56-416d-8f03-32e01e3f993e,scene0012_00,20,shelf,"As you come through the brown door, this is the shelf which is directly on your right.",,1,0,1,1,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,,,,0,,1,fine-grained,1,0,,1,
bd9adff4-a968-4d14-877e-a7a1a867f22b,scene0012_00,21,object,On top of the shelf is a red and yellow object.,,1,0,2,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,,,,0,,1,generic,1,0,,,
69a5d616-2a6e-470b-8636-a7c010b97e05,scene0035_00,1,bed,This is a bed with a blue mattress next to a brown nightstand.,1,1,1,2,1,0,0,0,0,0,0,0,0,,2,0,1,0,0,0,1,,,0,,0,fine-grained,1,0,,,
ebbbcde5-a9ef-4ab7-9be3-e9f997c3f914,scene0035_00,,bed,This is a bed with a brown mattress next to a blue nightstand.,1,1,1,2,1,0,0,0,0,0,0,0,0,,2,0,1,0,0,0,1,,,0,,0,fine-grained,1,0,,,
97981bfb-35c7-4fb0-b892-29b6e30dc623,scene0035_00,8,radiator,The radiator is on the wall and under the window.,2,1,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,1,,,,0,,0,fine-grained,1,0,,,
952d44b0-4677-42f9-a896-32e0e548e2c3,scene0035_00,,radiator,The radiator is the one on the wall but not under the window.,2,1,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,1,,,,0,,0,fine-grained,1,0,,,1
9d27355f-6a58-46c5-9c62-495bcc4bb0b6,scene0035_00,9,chair,Find the object with wheels.,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,,,0,,0,generic,0,0,,,
